"","voted_for","ABC","CBS","NBC","CNN","Fox_News","MSNBC","PBS","Other","TV_type","Party","voted_for_binary"
"1232","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Independent",1
"1233","Biden","Yes","Yes","No","No","No","No","No","No","Both","Independent",1
"1234","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"1235","Biden","No","Yes","No","Yes","No","Yes","No","No","Both","Independent",1
"1236","Trump","No","No","No","Yes","Yes","Yes","No","No","Both","Independent",0
"1237","Trump","Yes","No","No","No","Yes","No","No","No","Both","Republican",0
"1238","Trump","No","Yes","Yes","Yes","Yes","No","No","No","Both","Republican",0
"1239","Trump","Yes","No","No","No","Yes","No","No","No","Both","Republican",0
"1240","Trump","No","No","No","No","Yes","No","Yes","No","National Newscast","Republican",0
"1241","Biden","Yes","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"1242","Trump","Yes","Yes","Yes","No","Yes","No","No","Yes","Both","Independent",0
"1243","Biden","No","Yes","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1244","Biden","Yes","Yes","Yes","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1245","Biden","Yes","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1246","Trump","No","No","No","No","Yes","No","No","Yes","National Newscast","Republican",0
"1247","Biden","Yes","No","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1248","Biden","No","No","No","No","No","Yes","No","No","Both","Democrat",1
"1249","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1250","Biden","No","No","Yes","No","No","No","No","No","Both","Republican",1
"1251","Biden","No","No","Yes","No","No","No","No","No","Both","Independent",1
"1252","Biden","No","No","No","Yes","No","No","Yes","No","Both","Democrat",1
"1253","Biden","No","No","No","No","No","Yes","Yes","No","Both","Independent",1
"1254","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1255","Biden","Yes","No","No","Yes","No","Yes","Yes","No","Both","Democrat",1
"1256","Trump","No","No","Yes","No","No","No","No","No","Both","Republican",0
"1257","Trump","No","No","No","No","Yes","No","No","No","Both","Independent",0
"1258","Biden","No","No","Yes","No","No","No","No","No","National Newscast","Democrat",1
"1259","Biden","No","No","Yes","No","No","No","No","No","Both","Democrat",1
"1260","Trump","No","No","No","Yes","Yes","No","Yes","No","Both","Democrat",0
"1261","Biden","Yes","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1262","Biden","No","Yes","No","No","No","Yes","No","No","Both","Democrat",1
"1263","Biden","No","Yes","No","Yes","No","No","Yes","No","Both","Democrat",1
"1264","Biden","Yes","Yes","Yes","Yes","No","No","No","No","Both","Democrat",1
"1265","Trump","No","Yes","No","Yes","Yes","No","No","No","Both","Republican",0
"1266","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Independent",1
"1267","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1268","Biden","No","Yes","No","Yes","No","No","Yes","No","Both","Democrat",1
"1269","Biden","No","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"1270","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Independent",1
"1271","Biden","Yes","No","No","Yes","No","No","No","No","Both","Democrat",1
"1272","Biden","No","Yes","No","Yes","No","Yes","No","No","Both","Independent",1
"1273","Trump","Yes","No","Yes","No","Yes","No","Yes","No","Both","Independent",0
"1274","Biden","No","Yes","Yes","Yes","No","Yes","No","No","National Newscast","Independent",1
"1275","Biden","Yes","Yes","No","No","No","No","No","No","Both","Democrat",1
"1276","Biden","No","Yes","No","Yes","No","No","No","Yes","Both","Independent",1
"1277","Biden","Yes","No","No","Yes","No","No","No","No","Both","Independent",1
"1278","Trump","Yes","Yes","Yes","Yes","Yes","No","No","No","Both","Independent",0
"1279","Biden","No","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"1280","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"1281","Biden","Yes","Yes","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1282","Trump","No","Yes","No","Yes","Yes","No","No","Yes","Both","Republican",0
"1283","Trump","Yes","No","Yes","No","Yes","No","No","No","Both","Republican",0
"1284","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Independent",1
"1285","Biden","No","No","No","Yes","No","Yes","No","No","Both","Independent",1
"1286","Biden","Yes","No","Yes","Yes","No","No","No","No","Both","Republican",1
"1287","Trump","No","No","No","No","Yes","No","No","Yes","Both","Republican",0
"1288","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1289","Biden","No","No","No","Yes","No","No","Yes","No","Both","Other",1
"1290","Trump","No","No","No","No","Yes","No","No","Yes","Both","Republican",0
"1291","Biden","No","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"1292","Biden","Yes","Yes","Yes","Yes","No","No","No","No","Both","Democrat",1
"1293","Trump","No","No","No","No","Yes","No","No","No","Both","Independent",0
"1294","Biden","No","No","Yes","No","No","Yes","No","Yes","National Newscast","Other",1
"1295","Trump","No","No","No","No","No","No","No","Yes","National Newscast","Republican",0
"1296","Biden","Yes","No","No","No","No","No","No","No","Both","Other",1
"1297","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"1298","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"1299","Biden","Yes","No","No","Yes","No","Yes","No","No","Both","Independent",1
"1300","Trump","Yes","No","Yes","No","Yes","No","Yes","No","Both","Independent",0
"1301","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1302","Biden","No","Yes","No","No","No","No","No","No","Both","Independent",1
"1303","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1304","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"1305","Trump","No","Yes","No","Yes","Yes","No","No","No","National Newscast","Republican",0
"1306","Biden","No","Yes","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1307","Biden","Yes","No","Yes","Yes","No","No","Yes","No","National Newscast","Democrat",1
"1308","Biden","Yes","No","Yes","No","No","Yes","Yes","No","Both","Democrat",1
"1309","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1310","Biden","Yes","No","Yes","Yes","Yes","No","No","No","Both","Independent",1
"1311","Biden","No","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"1312","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1313","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"1314","Trump","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","National Newscast","Independent",0
"1315","Trump","No","No","No","No","No","No","No","Yes","National Newscast","Republican",0
"1316","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1317","Biden","No","No","Yes","No","No","Yes","No","No","Both","Independent",1
"1318","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"1319","Biden","Yes","Yes","Yes","No","No","Yes","Yes","No","Both","Democrat",1
"1320","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"1321","Biden","No","No","No","No","No","Yes","No","No","Both","Other",1
"1322","Biden","Yes","No","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"1323","Trump","No","No","No","No","No","No","No","Yes","National Newscast","Republican",0
"1324","Trump","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Both","Independent",0
"1325","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"1326","Biden","No","Yes","No","Yes","No","No","No","No","National Newscast","Democrat",1
"1327","Biden","No","No","No","Yes","No","Yes","No","Yes","Both","Democrat",1
"1328","Biden","Yes","No","No","No","No","No","No","No","Both","Other",1
"1329","Trump","No","No","No","No","Yes","No","No","Yes","Both","Independent",0
"1330","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1331","Trump","No","No","No","No","Yes","No","No","No","Both","Other",0
"1332","Trump","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Both","Republican",0
"1333","Trump","No","No","No","No","Yes","No","No","Yes","National Newscast","Independent",0
"1334","Biden","No","No","Yes","No","No","No","No","No","National Newscast","Democrat",1
"1335","Biden","Yes","No","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"1336","Trump","No","Yes","No","No","No","No","No","No","National Newscast","Democrat",0
"1337","Trump","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Both","Independent",0
"1338","Biden","No","No","Yes","No","No","No","No","No","Both","Democrat",1
"1339","Trump","Yes","Yes","No","No","Yes","No","No","No","Both","Republican",0
"1340","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"1341","Trump","No","No","No","No","Yes","No","No","Yes","National Newscast","Republican",0
"1342","Biden","Yes","No","No","No","No","No","No","No","Both","Democrat",1
"1343","Biden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Both","Democrat",1
"1344","Trump","No","Yes","Yes","No","No","No","No","No","Both","Republican",0
"1345","Biden","Yes","No","No","No","No","No","No","No","Both","Independent",1
"1346","Biden","No","Yes","No","No","No","No","No","No","Both","Independent",1
"1347","Biden","No","No","No","Yes","No","Yes","Yes","No","Both","Democrat",1
"1348","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"1349","Biden","Yes","No","No","No","No","Yes","Yes","No","National Newscast","Democrat",1
"1350","Biden","Yes","Yes","No","Yes","No","Yes","No","No","National Newscast","Independent",1
"1351","Biden","No","Yes","No","Yes","Yes","Yes","Yes","No","Both","Democrat",1
"1352","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1353","Biden","No","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"1354","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1355","Biden","Yes","No","No","No","No","No","No","No","Both","Democrat",1
"1356","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1357","Trump","No","No","No","No","No","No","No","No","National Newscast","Independent",0
"1358","Biden","No","No","Yes","Yes","No","No","Yes","No","Both","Democrat",1
"1359","Biden","No","No","No","Yes","No","Yes","No","No","Both","Independent",1
"1360","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1361","Biden","Yes","No","No","Yes","No","Yes","No","No","Both","Independent",1
"1362","Biden","No","Yes","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1363","Biden","No","No","Yes","No","No","No","No","No","Both","Independent",1
"1364","Biden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Both","Democrat",1
"1365","Biden","Yes","No","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1366","Biden","No","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"1367","Biden","No","No","Yes","No","No","Yes","Yes","No","Both","Democrat",1
"1368","Biden","No","No","Yes","No","No","Yes","Yes","No","National Newscast","Democrat",1
"1369","Biden","No","Yes","No","No","No","No","No","No","Both","Democrat",1
"1370","Biden","Yes","No","No","Yes","No","Yes","No","No","Both","Democrat",1
"1371","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1372","Biden","No","No","Yes","Yes","No","No","No","No","Both","Democrat",1
"1373","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1374","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1375","Biden","Yes","No","No","No","No","Yes","No","No","Both","Republican",1
"1376","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1377","Biden","Yes","No","No","Yes","No","Yes","No","No","Both","Democrat",1
"1378","Biden","No","No","No","Yes","Yes","Yes","No","No","Both","Independent",1
"1379","Biden","No","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"1380","Trump","Yes","Yes","Yes","No","No","No","No","No","Both","Republican",0
"1381","Biden","Yes","Yes","No","Yes","No","No","No","Yes","National Newscast","Republican",1
"1382","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Independent",1
"1383","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","National Newscast","Independent",1
"1384","Biden","No","No","Yes","Yes","Yes","Yes","No","No","Both","Independent",1
"1385","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1386","Biden","Yes","No","Yes","No","No","No","No","No","National Newscast","Republican",1
"1387","Trump","Yes","No","No","No","No","No","No","No","Both","Republican",0
"1388","Trump","No","No","No","No","Yes","No","No","No","Both","Independent",0
"1389","Trump","Yes","No","Yes","No","No","No","No","No","Both","Independent",0
"1390","Biden","No","Yes","No","Yes","No","No","Yes","No","Both","Democrat",1
"1391","Trump","No","No","Yes","No","No","Yes","No","No","Both","Republican",0
"1392","Biden","No","No","Yes","No","No","No","No","No","Both","Republican",1
"1393","Biden","Yes","No","No","Yes","No","No","No","No","Both","Democrat",1
"1394","Trump","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Both","Other",0
"1395","Biden","No","Yes","No","No","No","No","No","No","Both","Republican",1
"1396","Biden","No","No","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1397","Trump","No","Yes","No","No","No","No","No","No","Both","Independent",0
"1398","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"1399","Trump","No","No","Yes","Yes","Yes","No","No","No","National Newscast","Republican",0
"1400","Biden","Yes","Yes","Yes","Yes","No","No","No","No","Both","Democrat",1
"1401","Biden","Yes","No","No","Yes","No","Yes","No","No","Both","Democrat",1
"1402","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1403","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"1404","Biden","No","No","Yes","No","No","Yes","No","No","Both","Democrat",1
"1405","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"1406","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Independent",1
"1407","Biden","No","No","Yes","Yes","No","No","No","No","Both","Democrat",1
"1408","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1409","Biden","No","No","No","Yes","No","Yes","Yes","No","National Newscast","Democrat",1
"1410","Biden","Yes","Yes","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1411","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"1412","Biden","Yes","No","No","No","No","No","No","No","Both","Democrat",1
"1413","Biden","No","No","No","No","No","No","Yes","No","National Newscast","Democrat",1
"1414","Biden","No","No","No","Yes","No","No","Yes","No","National Newscast","Independent",1
"1415","Trump","Yes","No","No","No","Yes","No","No","No","Both","Republican",0
"1416","Biden","Yes","No","Yes","No","No","No","No","No","National Newscast","Democrat",1
"1417","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1418","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1419","Biden","Yes","Yes","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1420","Biden","Yes","Yes","Yes","No","No","No","Yes","No","Both","Democrat",1
"1421","Biden","No","No","Yes","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1422","Trump","No","No","No","No","Yes","No","No","Yes","National Newscast","Republican",0
"1423","Biden","No","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"1424","Biden","No","No","No","No","No","No","No","Yes","Both","Independent",1
"1425","Trump","No","No","No","No","No","No","No","Yes","National Newscast","Republican",0
"1426","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1427","Trump","No","No","Yes","Yes","Yes","No","No","No","Both","Republican",0
"1428","Trump","No","Yes","No","No","No","No","No","No","Both","Republican",0
"1429","Biden","No","No","Yes","No","No","No","No","No","Both","Independent",1
"1430","Trump","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Both","Independent",0
"1431","Biden","Yes","No","No","Yes","No","Yes","Yes","Yes","National Newscast","Democrat",1
"1432","Trump","No","Yes","No","No","No","No","No","No","Both","Republican",0
"1433","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1434","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"1435","Biden","No","No","No","Yes","Yes","Yes","No","Yes","Both","Democrat",1
"1436","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1437","Biden","No","Yes","Yes","Yes","Yes","No","No","No","Both","Democrat",1
"1438","Biden","No","No","Yes","No","No","No","Yes","No","Both","Independent",1
"1439","Trump","No","Yes","Yes","No","No","Yes","No","No","Both","Republican",0
"1440","Biden","Yes","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"1441","Biden","Yes","Yes","Yes","Yes","No","No","No","No","Both","Democrat",1
"1442","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Independent",1
"1443","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Independent",1
"1444","Biden","No","Yes","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"1445","Biden","No","No","Yes","No","No","Yes","No","No","Both","Democrat",1
"1446","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1447","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1448","Biden","Yes","No","No","No","No","No","No","No","National Newscast","Independent",1
"1449","Trump","No","No","No","No","Yes","No","No","Yes","National Newscast","Republican",0
"1450","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1451","Biden","No","Yes","No","No","No","No","No","No","Both","Democrat",1
"1452","Trump","No","No","Yes","No","No","No","No","No","National Newscast","Independent",0
"1453","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1454","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1455","Biden","No","Yes","No","Yes","No","Yes","No","No","Both","Democrat",1
"1456","Trump","No","Yes","Yes","No","No","No","Yes","No","National Newscast","Independent",0
"1457","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"1458","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Independent",1
"1459","Biden","No","Yes","Yes","No","No","No","No","No","Both","Independent",1
"1460","Biden","Yes","No","No","No","No","No","No","No","Both","Democrat",1
"1461","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"1462","Biden","No","No","Yes","No","No","No","Yes","No","Both","Democrat",1
"1463","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"1464","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"1465","Biden","No","No","No","Yes","Yes","Yes","No","No","National Newscast","Independent",1
"1466","Trump","No","No","No","No","Yes","No","No","Yes","National Newscast","Republican",0
"1467","Biden","No","Yes","No","Yes","Yes","Yes","No","No","Both","Democrat",1
"1468","Biden","Yes","No","Yes","No","No","No","No","No","Both","Democrat",1
"1469","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"1470","Trump","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Both","Republican",0
"1471","Trump","No","No","No","No","Yes","No","No","No","Both","Independent",0
"1472","Biden","No","No","Yes","Yes","Yes","Yes","No","No","Both","Democrat",1
"1473","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1474","Trump","Yes","No","No","No","No","No","No","No","Both","Republican",0
"1475","Biden","Yes","No","No","Yes","No","No","No","No","Both","Democrat",1
"1476","Biden","Yes","Yes","Yes","Yes","No","No","Yes","No","Both","Democrat",1
"1477","Trump","No","No","No","No","Yes","No","No","No","Both","Other",0
"1478","Biden","No","Yes","No","Yes","No","Yes","No","No","Both","Democrat",1
"1479","Biden","No","Yes","No","No","No","Yes","No","No","Both","Democrat",1
"1480","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1481","Biden","No","Yes","No","Yes","Yes","Yes","No","No","Both","Independent",1
"1482","Biden","No","No","No","Yes","Yes","No","No","No","Both","Democrat",1
"1483","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1484","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"1485","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1486","Trump","No","No","No","No","No","No","No","Yes","National Newscast","Republican",0
"1487","Biden","Yes","No","Yes","No","No","Yes","Yes","No","Both","Democrat",1
"1488","Biden","Yes","No","No","No","No","No","Yes","No","Both","Independent",1
"1489","Biden","No","Yes","No","No","No","No","No","No","Both","Independent",1
"1490","Biden","No","No","Yes","No","No","No","No","No","Both","Independent",1
"1491","Biden","No","Yes","No","No","No","No","No","No","Both","Independent",1
"1492","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"1493","Biden","No","Yes","No","Yes","No","Yes","Yes","No","Both","Democrat",1
"1494","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1495","Biden","No","Yes","No","Yes","No","Yes","No","No","Both","Democrat",1
"1496","Biden","Yes","Yes","Yes","Yes","No","No","Yes","No","Both","Democrat",1
"1497","Biden","Yes","No","Yes","No","No","Yes","Yes","No","Both","Democrat",1
"1498","Biden","No","No","No","Yes","No","No","No","Yes","Both","Democrat",1
"1499","Biden","Yes","No","No","No","No","No","Yes","No","Both","Democrat",1
"1500","Trump","No","No","Yes","No","No","No","No","No","National Newscast","Republican",0
"1501","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"1502","Biden","Yes","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"1503","Biden","No","No","Yes","No","No","No","No","No","Both","Democrat",1
"1504","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Independent",1
"1505","Trump","Yes","Yes","No","No","Yes","No","No","No","Both","Republican",0
"1506","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"1507","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1508","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1509","Biden","No","Yes","No","No","No","No","No","No","Both","Democrat",1
"1510","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1511","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"1512","Trump","No","No","Yes","No","No","No","No","No","Both","Republican",0
"1513","Biden","Yes","Yes","No","Yes","No","No","Yes","No","Both","Democrat",1
"1514","Trump","Yes","Yes","Yes","No","No","No","No","No","Both","Republican",0
"1515","Trump","No","No","Yes","No","Yes","No","No","No","Both","Republican",0
"1516","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1517","Trump","Yes","Yes","No","No","Yes","No","No","No","National Newscast","Republican",0
"1518","Biden","No","No","No","No","No","Yes","No","No","Both","Democrat",1
"1519","Biden","No","No","No","Yes","No","Yes","Yes","No","National Newscast","Democrat",1
"1520","Trump","No","No","Yes","No","Yes","No","No","No","Both","Republican",0
"1521","Biden","No","No","No","Yes","No","No","No","No","Both","Democrat",1
"1522","Trump","No","No","Yes","No","No","No","No","No","Both","Independent",0
"1523","Biden","No","No","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1524","Trump","Yes","No","Yes","No","No","No","No","No","Both","Independent",0
"1525","Biden","Yes","No","No","No","No","No","No","No","Both","Republican",1
"1526","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1527","Biden","Yes","No","No","No","No","No","No","No","National Newscast","Democrat",1
"1528","Biden","Yes","No","Yes","No","No","No","No","No","Both","Democrat",1
"1529","Biden","No","No","No","Yes","No","Yes","No","No","Both","Independent",1
"1530","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"1531","Biden","Yes","No","Yes","No","No","Yes","No","No","National Newscast","Democrat",1
"1532","Biden","Yes","Yes","No","No","No","No","No","No","Both","Independent",1
"1533","Trump","Yes","No","No","No","Yes","No","No","No","Both","Independent",0
"1534","Biden","Yes","Yes","Yes","Yes","No","No","No","No","Both","Democrat",1
"1535","Biden","Yes","No","No","Yes","No","No","No","No","Both","Democrat",1
"1536","Trump","No","No","Yes","Yes","No","No","No","No","Both","Independent",0
"1537","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"1538","Biden","Yes","Yes","Yes","No","No","No","No","No","Both","Democrat",1
"1539","Biden","Yes","Yes","No","No","No","No","No","No","National Newscast","Independent",1
"1540","Biden","No","Yes","Yes","No","No","No","No","No","National Newscast","Independent",1
"1541","Biden","Yes","No","Yes","No","No","Yes","No","No","National Newscast","Democrat",1
"1542","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"1543","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Independent",1
"1544","Biden","Yes","Yes","Yes","No","No","Yes","No","No","Both","Democrat",1
"1545","Biden","No","No","Yes","Yes","No","No","No","No","Both","Democrat",1
"1546","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"1547","Biden","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Both","Democrat",1
"1548","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1549","Biden","No","No","Yes","No","No","Yes","No","No","National Newscast","Democrat",1
"1550","Biden","Yes","No","No","No","No","No","No","No","Both","Democrat",1
"1551","Biden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Both","Democrat",1
"1552","Trump","No","No","Yes","Yes","No","No","No","No","Both","Republican",0
"1553","Biden","No","Yes","Yes","No","Yes","Yes","Yes","No","Both","Democrat",1
"1554","Biden","No","No","Yes","No","No","Yes","Yes","No","Both","Democrat",1
"1555","Trump","No","Yes","Yes","Yes","Yes","Yes","No","No","Both","Republican",0
"1556","Trump","No","No","No","No","Yes","No","No","Yes","Both","Republican",0
"1557","Biden","Yes","No","Yes","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1558","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1559","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"1560","Biden","Yes","No","No","No","No","No","No","No","Both","Independent",1
"1561","Biden","No","No","No","Yes","No","Yes","No","No","National Newscast","Democrat",1
"1562","Trump","No","Yes","Yes","Yes","Yes","No","No","No","Both","Independent",0
"1563","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"1564","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"1565","Biden","No","Yes","No","Yes","Yes","Yes","No","No","Both","Independent",1
"1566","Biden","Yes","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"1567","Trump","No","No","Yes","No","Yes","No","No","No","National Newscast","Independent",0
"1568","Biden","No","No","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"1569","Biden","Yes","No","No","Yes","No","No","No","No","Both","Democrat",1
"1570","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"1571","Biden","No","No","No","Yes","No","No","No","No","Both","Democrat",1
"1572","Biden","No","No","No","Yes","No","No","Yes","No","National Newscast","Democrat",1
"1573","Trump","No","No","Yes","No","Yes","No","Yes","No","Both","Republican",0
"1574","Trump","Yes","No","No","No","Yes","No","No","No","Both","Republican",0
"1575","Trump","No","No","No","No","Yes","No","No","Yes","Both","Republican",0
"1576","Biden","No","Yes","Yes","Yes","No","No","No","No","Both","Democrat",1
"1577","Trump","Yes","No","Yes","No","No","No","No","No","Both","Republican",0
"1578","Biden","No","No","Yes","No","No","Yes","No","No","Both","Democrat",1
"1579","Biden","No","No","No","Yes","No","No","No","No","Both","Democrat",1
"1580","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"1581","Biden","No","No","No","Yes","Yes","No","No","No","National Newscast","Independent",1
"1582","Trump","Yes","No","No","No","No","No","No","No","Both","Republican",0
"1583","Biden","Yes","Yes","Yes","No","Yes","Yes","No","No","Both","Democrat",1
"1584","Biden","Yes","Yes","Yes","Yes","No","No","No","No","Both","Independent",1
"1585","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
