"","voted_for","ABC","CBS","NBC","CNN","Fox_News","MSNBC","PBS","Other","TV_type","Party","voted_for_binary"
"135","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"136","Biden","Yes","Yes","No","No","No","No","No","No","Both","Democrat",1
"137","Biden","No","No","No","Yes","No","No","No","No","Both","Independent",1
"138","Biden","No","Yes","No","Yes","No","No","No","No","Both","Independent",1
"139","Trump","No","No","No","No","Yes","No","No","Yes","Both","Republican",0
"140","Biden","Yes","Yes","No","No","Yes","No","No","No","Both","Independent",1
"141","Trump","No","No","No","No","Yes","Yes","No","No","National Newscast","Republican",0
"142","Biden","No","Yes","Yes","No","No","No","No","No","Both","Republican",1
"143","Trump","Yes","Yes","Yes","No","No","No","No","No","Both","Republican",0
"144","Biden","Yes","No","No","No","Yes","Yes","No","No","Both","Democrat",1
"145","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"146","Biden","No","No","No","Yes","No","Yes","Yes","No","National Newscast","Democrat",1
"147","Biden","No","No","Yes","No","No","No","No","No","Both","Democrat",1
"148","Biden","Yes","No","No","No","No","No","No","No","Both","Independent",1
"149","Biden","No","Yes","Yes","Yes","Yes","No","Yes","No","Both","Independent",1
"150","Biden","Yes","Yes","Yes","No","Yes","No","No","No","Both","Democrat",1
"151","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Both","Democrat",1
"152","Biden","No","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"153","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"154","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"155","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"156","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"157","Trump","Yes","No","No","No","Yes","No","No","No","Both","Republican",0
"158","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"159","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"160","Trump","No","No","No","No","Yes","No","No","Yes","National Newscast","Independent",0
"161","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Independent",1
"162","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"163","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"164","Trump","No","Yes","No","No","Yes","No","No","No","Both","Independent",0
"165","Biden","No","No","Yes","No","No","Yes","No","No","Both","Democrat",1
"166","Trump","No","No","Yes","No","Yes","No","No","No","National Newscast","Republican",0
"167","Biden","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Both","Independent",1
"168","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"169","Biden","Yes","Yes","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"170","Trump","No","No","Yes","No","No","No","No","No","Both","Independent",0
"171","Biden","No","No","Yes","No","Yes","No","No","No","Both","Democrat",1
"172","Biden","Yes","No","No","No","No","No","No","No","Both","Democrat",1
"173","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"174","Trump","No","Yes","No","Yes","Yes","Yes","Yes","No","Both","Independent",0
"175","Biden","Yes","Yes","Yes","No","No","No","Yes","No","Both","Democrat",1
"176","Biden","Yes","No","Yes","No","No","No","Yes","Yes","National Newscast","Democrat",1
"177","Trump","Yes","Yes","Yes","No","No","No","No","No","Both","Republican",0
"178","Biden","No","No","Yes","No","No","Yes","No","No","Both","Independent",1
"179","Trump","Yes","No","No","No","Yes","No","No","No","Both","Independent",0
"180","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"181","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"182","Biden","Yes","No","Yes","No","No","Yes","No","No","Both","Democrat",1
"183","Biden","No","No","Yes","Yes","No","No","No","No","National Newscast","Democrat",1
"184","Biden","No","No","Yes","No","No","Yes","No","No","National Newscast","Democrat",1
"185","Trump","Yes","No","No","No","Yes","No","No","No","Both","Republican",0
"186","Biden","Yes","No","No","No","No","No","No","No","Both","Democrat",1
"187","Biden","No","Yes","No","No","No","No","Yes","No","Both","Democrat",1
"188","Trump","No","No","No","No","Yes","No","No","Yes","Both","Other",0
"189","Trump","Yes","No","Yes","No","Yes","Yes","No","No","National Newscast","Independent",0
"190","Biden","No","No","Yes","No","Yes","No","Yes","No","Both","Independent",1
"191","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Other",1
"192","Biden","No","No","Yes","Yes","No","No","No","No","Both","Democrat",1
"193","Biden","No","No","Yes","Yes","No","Yes","No","No","Both","Democrat",1
"194","Trump","No","Yes","No","No","Yes","No","No","No","Both","Republican",0
"195","Biden","No","No","No","Yes","No","No","No","Yes","Both","Democrat",1
"196","Biden","Yes","Yes","No","No","No","Yes","No","No","Both","Democrat",1
"197","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
"198","Biden","Yes","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"199","Biden","No","Yes","Yes","Yes","No","Yes","No","No","Both","Independent",1
"200","Trump","Yes","No","No","No","Yes","No","No","No","Both","Republican",0
"201","Biden","No","No","No","Yes","No","Yes","Yes","No","National Newscast","Democrat",1
"202","Biden","No","No","Yes","Yes","No","Yes","No","No","Both","Democrat",1
